Unnamed: 0,scrape_id,latitude,neighbourhood_cleansed,property_type,host_since,host_response_time,host_acceptance_rate,host_listings_count,host_has_profile_pic,accommodates,bathrooms_text,beds,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_30,availability_90,availability_eoy,number_of_reviews_ltm,number_of_reviews_ly,review_scores_rating,review_scores_cleanliness,review_scores_location
6466,20250612050654,41.40254,el Poblenou,Entire rental unit,2012-12-21,within an hour,79%,224.0,t,6,2 baths,4.0,$213.00,1125,5.0,1125.0,121.5,3,48,150,20,18,4.5,4.65,4.7
6467,20250612050654,41.39068,la Dreta de l'Eixample,Entire rental unit,2012-07-03,within an hour,97%,43.0,t,2,2 baths,4.0,$300.00,365,28.0,1125.0,1125.0,24,84,187,0,0,4.5,4.5,5.0
6468,20250612050654,41.39068,la Dreta de l'Eixample,Entire rental unit,2012-07-03,within an hour,97%,43.0,t,6,2 baths,5.0,$350.00,356,28.0,1125.0,1125.0,7,65,167,0,0,4.5,3.0,5.0
6469,20250612050654,41.38199,la Nova Esquerra de l'Eixample,Entire rental unit,2019-12-23,within an hour,99%,2.0,t,6,2 baths,4.0,$180.00,1125,2.0,1125.0,1125.0,9,31,91,60,59,4.79,4.64,4.81
6470,20250612050654,41.37526,Hostafrancs,Private room in rental unit,2019-12-23,,,1.0,t,2,1 bath,,,1125,2.0,1125.0,1125.0,0,0,0,0,0,,,
6471,20250612050654,41.40266,el Poblenou,Private room in rental unit,2019-12-23,,,1.0,t,1,1 shared bath,,,90,31.0,90.0,90.0,0,0,0,0,0,4.75,5.0,4.5
6472,20250612050654,41.37302,el Poble Sec,Entire condo,2019-01-24,within an hour,96%,24.0,t,4,2 baths,2.0,$218.00,1125,99.0,1125.0,1125.0,2,40,141,8,2,3.78,3.59,4.3
6473,20250612050654,41.3809,la Barceloneta,Entire rental unit,2017-04-25,within an hour,100%,8.0,t,4,1 bath,3.0,$74.00,1125,32.0,1125.0,1125.0,9,55,158,4,3,4.5,4.17,4.56
6474,20250612050654,41.41673,Sant Martí de Provençals,Entire rental unit,2012-09-13,within an hour,100%,79.0,t,4,1 bath,4.0,$129.00,365,3.0,999.0,999.0,1,50,152,37,44,4.87,4.84,4.62
6475,20250612050654,41.40394,Diagonal Mar i el Front Marítim del Poblenou,Entire rental unit,2016-07-07,,100%,1.0,t,3,1 bath,,,1125,32.0,1125.0,1125.0,0,0,0,0,0,5.0,5.0,5.0
6476,20250612050654,41.44288,Verdun,Entire rental unit,2019-07-23,,,1.0,t,5,2 baths,,,1125,30.0,1125.0,1125.0,0,0,0,0,0,,,
6477,20250612050654,41.41186,el Baix Guinardó,Entire rental unit,2012-07-03,within an hour,97%,43.0,t,3,1 bath,1.0,$242.00,1125,7.0,365.0,365.0,30,90,191,3,0,4.45,4.55,4.82
6478,20250612050654,41.38039,el Barri Gòtic,Room in hotel,2018-11-23,within an hour,99%,3.0,t,2,1 shared bath,,,365,2.0,365.0,9.0,26,84,185,9,3,4.48,4.52,4.65
